symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,r_multiple,exit_reason
V,2024-12-20,2025-01-10,309.5,304.04,118,-643.71,-0.18,trailing_stop
NVDA,2025-01-06,2025-01-10,148.37,135.27,245,-3208.6,-0.88,trailing_stop
ISRG,2025-01-13,2025-01-24,543.4,573.72,64,1940.79,0.55,trailing_stop
C,2025-01-14,2025-02-03,70.28,74.71,501,2220.3,0.63,trailing_stop
JPM,2025-01-06,2025-02-05,236.52,262.46,154,3995.17,1.1,time_exit
AXP,2025-01-07,2025-02-06,299.03,314.92,121,1922.22,0.53,time_exit
BMY,2025-01-27,2025-02-06,56.47,53.53,631,-1852.47,-0.52,trailing_stop
BAC,2025-01-10,2025-02-10,44.47,45.12,810,524.71,0.15,time_exit
CSCO,2025-02-06,2025-02-13,60.77,60.7,607,-46.54,-0.01,trailing_stop
RTX,2025-02-11,2025-02-14,125.38,119.68,295,-1679.63,-0.45,trailing_stop
AMZN,2025-02-04,2025-02-18,239.01,227.04,151,-1807.21,-0.5,trailing_stop
COF,2025-02-19,2025-02-25,200.4,191.56,181,-1599.45,-0.44,trailing_stop
BNY,2025-02-18,2025-03-04,86.35,82.7,424,-1547.21,-0.42,trailing_stop
SPG,2025-02-07,2025-03-06,168.0,167.6,219,-86.83,-0.02,trailing_stop
BRK-B,2025-02-26,2025-03-06,499.12,491.93,72,-517.35,-0.14,trailing_stop
CSCO,2025-02-14,2025-03-07,61.71,60.51,599,-716.21,-0.19,trailing_stop
MCD,2025-02-07,2025-03-10,284.13,307.99,129,3078.22,0.83,time_exit
BMY,2025-03-10,2025-03-17,56.79,54.53,623,-1402.82,-0.4,trailing_stop
ABBV,2025-03-05,2025-03-25,197.3,196.0,180,-234.06,-0.07,trailing_stop
DUK,2025-03-11,2025-03-25,112.27,109.38,321,-927.02,-0.26,trailing_stop
MDT,2025-03-18,2025-03-25,89.27,85.37,400,-1557.72,-0.44,trailing_stop
MO,2025-03-07,2025-04-02,51.4,52.53,691,775.86,0.22,trailing_stop
CVX,2025-03-10,2025-04-03,149.06,151.87,237,666.37,0.19,trailing_stop
BRK-B,2025-03-31,2025-04-04,521.4,510.7,67,-716.58,-0.2,trailing_stop
DUK,2025-04-01,2025-04-04,115.84,112.07,304,-1146.35,-0.33,trailing_stop
CVS,2025-04-02,2025-04-04,64.07,61.37,549,-1479.7,-0.42,trailing_stop
KO,2025-04-04,2025-04-07,69.93,68.12,507,-914.47,-0.26,trailing_stop
LIN,2025-04-04,2025-04-07,456.74,444.77,77,-921.25,-0.26,trailing_stop
CVS,2025-04-09,2025-04-17,63.05,60.9,546,-1176.41,-0.34,trailing_stop
PG,2025-04-15,2025-04-24,162.18,153.84,212,-1767.6,-0.51,trailing_stop
PM,2025-04-17,2025-05-12,154.5,158.68,223,931.86,0.27,trailing_stop
WMT,2025-04-15,2025-05-14,93.81,96.03,367,814.79,0.24,time_exit
PLTR,2025-04-16,2025-05-15,96.28,128.12,257,8182.88,2.37,time_exit
ABT,2025-04-21,2025-05-19,127.44,131.9,268,1194.35,0.35,time_exit
BA,2025-04-25,2025-05-23,176.5,202.36,191,4939.26,1.46,time_exit
COST,2025-05-16,2025-06-09,1005.22,997.19,35,-281.23,-0.08,trailing_stop
BKNG,2025-05-13,2025-06-11,204.41,216.82,166,2059.68,0.6,time_exit
COF,2025-05-15,2025-06-13,192.07,190.03,178,-362.74,-0.11,time_exit
ABT,2025-05-20,2025-06-18,131.36,128.84,274,-690.52,-0.19,time_exit
BNY,2025-06-20,2025-06-23,90.06,86.61,413,-1425.5,-0.38,trailing_stop
PM,2025-05-27,2025-06-25,170.68,172.03,217,293.07,0.08,time_exit
GEV,2025-06-12,2025-07-01,477.52,482.14,78,360.83,0.1,trailing_stop
IBM,2025-06-10,2025-07-10,264.48,278.27,140,1930.04,0.52,time_exit
AXP,2025-07-02,2025-07-15,318.77,307.74,116,-1279.08,-0.34,trailing_stop
AMT,2025-06-16,2025-07-16,205.08,215.05,182,1815.39,0.49,time_exit
DE,2025-07-11,2025-07-17,507.84,490.32,73,-1278.89,-0.34,trailing_stop
MMM,2025-07-16,2025-07-18,154.73,149.87,240,-1166.52,-0.31,trailing_stop
C,2025-06-24,2025-07-23,77.83,93.39,474,7373.75,2.0,time_exit
BNY,2025-06-26,2025-07-25,88.2,99.19,419,4607.6,1.24,time_exit
AMT,2025-07-17,2025-07-29,214.52,213.94,175,-102.14,-0.03,trailing_stop
GD,2025-07-21,2025-08-01,293.79,301.87,126,1018.14,0.27,trailing_stop
AVGO,2025-07-24,2025-08-01,287.68,280.09,134,-1017.06,-0.26,trailing_stop
GILD,2025-07-28,2025-08-06,110.51,107.93,357,-921.2,-0.23,trailing_stop
BLK,2025-07-18,2025-08-15,1089.11,1111.72,34,768.62,0.21,time_exit
AVGO,2025-08-07,2025-08-20,303.94,288.77,129,-1957.48,-0.5,trailing_stop
ABBV,2025-07-30,2025-08-27,186.0,201.8,212,3349.57,0.85,time_exit
DUK,2025-08-04,2025-09-02,117.84,117.68,334,-54.17,-0.01,trailing_stop
JNJ,2025-08-04,2025-09-02,162.96,174.99,242,2912.77,0.74,time_exit
BA,2025-09-03,2025-09-05,237.06,226.41,169,-1799.89,-0.45,trailing_stop
ABT,2025-08-18,2025-09-10,128.66,125.17,306,-1067.68,-0.27,trailing_stop
AXP,2025-08-21,2025-09-19,303.54,337.51,128,4347.73,1.11,time_exit
BAC,2025-08-28,2025-09-26,49.47,51.38,802,1530.88,0.39,time_exit
BNY,2025-09-03,2025-10-01,102.9,105.0,391,822.41,0.2,time_exit
ABBV,2025-09-08,2025-10-06,204.64,223.66,195,3707.77,0.93,trailing_stop
CVS,2025-09-11,2025-10-09,71.56,74.38,554,1562.54,0.39,time_exit
AAPL,2025-09-22,2025-10-10,247.39,245.43,164,-321.12,-0.08,trailing_stop
BLK,2025-10-07,2025-10-10,1160.52,1119.5,36,-1476.87,-0.35,trailing_stop
CSCO,2025-10-10,2025-10-13,69.4,66.64,606,-1669.83,-0.4,trailing_stop
DUK,2025-09-29,2025-10-27,118.88,123.17,343,1471.28,0.36,time_exit
AMGN,2025-10-02,2025-10-30,291.95,285.78,140,-864.58,-0.21,time_exit
CVS,2025-10-13,2025-10-30,75.15,77.68,555,1403.23,0.34,trailing_stop
GILD,2025-10-13,2025-10-31,114.17,113.92,365,-91.25,-0.02,trailing_stop
CSCO,2025-10-31,2025-11-06,71.67,69.68,583,-1163.15,-0.28,trailing_stop
AVGO,2025-10-14,2025-11-07,348.18,346.47,118,-201.06,-0.05,trailing_stop
AMZN,2025-11-03,2025-11-13,255.36,237.85,163,-2853.4,-0.68,trailing_stop
BAC,2025-10-31,2025-11-17,51.95,50.71,804,-998.2,-0.24,trailing_stop
AXP,2025-11-10,2025-11-17,366.5,351.3,113,-1717.31,-0.41,trailing_stop
AAPL,2025-10-28,2025-11-25,268.0,276.22,155,1273.81,0.31,time_exit
AMGN,2025-11-07,2025-12-08,309.35,319.25,134,1327.18,0.32,trailing_stop
ABBV,2025-11-14,2025-12-08,228.21,217.47,179,-1922.73,-0.47,trailing_stop
AVGO,2025-11-26,2025-12-12,383.4,367.44,106,-1691.63,-0.42,trailing_stop
DHR,2025-11-18,2025-12-17,217.92,221.39,185,642.05,0.16,time_exit
FDX,2025-11-18,2025-12-17,208.75,225.64,193,3258.82,0.81,time_exit
EMR,2025-12-09,2025-12-17,133.97,130.13,302,-1159.42,-0.29,trailing_stop
FDX,2025-12-18,2025-12-19,226.38,217.08,180,-1674.35,-0.41,trailing_stop
PEP,2025-12-18,2025-12-23,146.93,142.52,277,-1222.2,-0.3,trailing_stop
LMT,2025-12-18,2026-01-07,466.88,499.33,87,2822.98,0.69,trailing_stop
GS,2025-12-09,2026-01-08,857.69,925.86,47,3203.95,0.79,time_exit
ABBV,2026-01-08,2026-01-09,225.79,217.96,180,-1409.42,-0.35,trailing_stop
BAC,2025-12-15,2026-01-12,54.81,54.26,733,-402.87,-0.1,trailing_stop
COF,2025-12-22,2026-01-12,243.02,243.04,166,3.35,0.0,trailing_stop
AMZN,2026-01-09,2026-01-20,244.57,235.75,169,-1490.37,-0.36,trailing_stop
BNY,2026-01-13,2026-01-20,119.77,118.04,342,-593.71,-0.14,trailing_stop
DUK,2026-01-21,2026-01-23,117.12,113.45,346,-1269.85,-0.31,trailing_stop
GD,2025-12-24,2026-01-26,339.06,360.27,118,2503.4,0.62,time_exit
CVS,2026-01-13,2026-01-27,78.52,77.28,522,-649.1,-0.16,trailing_stop
AMD,2026-01-21,2026-01-30,235.99,236.77,172,133.84,0.03,trailing_stop
COP,2026-01-12,2026-02-10,97.13,105.88,423,3703.9,0.9,time_exit
